code,for gender,main accords,longevity,sillage,gender,top notes,middle notes,base notes,sentiment_data,season_data
m4,for women,"{'white floral': 100.0, 'amber': 72.2803, 'floral': 44.0}","{'very weak': '214', 'weak': '516', 'moderate': '2875', 'long lasting': '5344', 'eternal': '4931'}","{'intimate': '571', 'moderate': '3419', 'strong': '5783', 'enormous': '4157'}","{'female': '5913', 'more female': '1805', 'unisex': '907', 'more male': '36', 'male': '56'}",{'Jasmine Sambac': 5.0},{'Cashmeran': 2.5},{'Amber': 3.9},"{'love': 100.0, 'like': 67.5211, 'ok': 12.1686, 'dislike': 35.4064, 'hate': 6.21922}","{'winter': 92.6734, 'spring': 39.8112, 'summer': 23.1575, 'fall': 76.4528, 'day': 48.3935, 'night': 100.0}"
m5,for women,"{'fruity': 100.0, 'sweet': 83.9242, 'vanilla': 76.2208, 'citrus': 75.9302, 'fresh': 73.7499, 'green': 69.5928, 'fresh spicy': 66.0901, 'lactonic': 60.8138}","{'very weak': '31', 'weak': '84', 'moderate': '144', 'long lasting': '39', 'eternal': '11'}","{'intimate': '81', 'moderate': '180', 'strong': '50', 'enormous': '38'}","{'female': '179', 'more female': '13', 'unisex': '1', 'more male': '1', 'male': '2'}","{'Apple': 5.0, 'Whipped Cream': 4.375, 'Bergamot': 2.5}",{},{},"{'love': 100.0, 'like': 99.4269, 'ok': 7.16332, 'dislike': 18.3381, 'hate': 0.573066}","{'winter': 23.1544, 'spring': 79.5302, 'summer': 92.2819, 'fall': 34.5638, 'day': 100.0, 'night': 33.2215}"
m8,for women,"{'white floral': 100.0, 'floral': 86.8234, 'fruity': 82.1264, 'sweet': 64.6261, 'fresh': 63.8896, 'aquatic': 55.0672, 'citrus': 54.8253, 'powdery': 51.2353, 'ozonic': 46.8371, 'tuberose': 46.8261}","{'very weak': '223', 'weak': '760', 'moderate': '3681', 'long lasting': '3119', 'eternal': '861'}","{'intimate': '849', 'moderate': '4350', 'strong': '2680', 'enormous': '753'}","{'female': '4671', 'more female': '464', 'unisex': '127', 'more male': '13', 'male': '15'}","{'Pear': 4.2, 'Melon': 3.8, 'Magnolia': 3.725, 'Peach': 3.35, 'Mandarin Orange': 2.7, 'Bergamot': 2.675}","{'Jasmine': 5.0, 'Lily-of-the-Valley': 3.8, 'Tuberose': 3.45, 'Freesia': 3.2, 'Rose': 3.05, 'Orchid': 2.725, 'Violet': 2.675, 'Plum': 2.65}","{'Musk': 3.075, 'Vanilla': 2.725, 'Cedar': 2.525, 'Blackberry': 2.5}","{'love': 75.3548, 'like': 100.0, 'ok': 15.6368, 'dislike': 50.2694, 'hate': 3.79019}","{'winter': 47.3678, 'spring': 92.1831, 'summer': 54.3625, 'fall': 66.4744, 'day': 100.0, 'night': 62.8543}"
m9,for women,"{'rose': 100.0, 'fruity': 86.2172, 'vanilla': 80.8161, 'amber': 74.3221, 'tropical': 60.3249, 'fresh': 58.5518, 'sweet': 55.0289, 'woody': 54.0281, 'oud': 53.3973, 'floral': 53.1278}","{'very weak': '71', 'weak': '94', 'moderate': '637', 'long lasting': '1459', 'eternal': '1044'}","{'intimate': '151', 'moderate': '1027', 'strong': '1555', 'enormous': '713'}","{'female': '2566', 'more female': '255', 'unisex': '100', 'more male': '14', 'male': '25'}","{'Litchi': 4.3, 'Pear': 3.475, 'Bergamot': 3.0, 'Grapefruit': 2.575, 'Pink Pepper': 2.525}","{'Turkish Rose': 5.0, 'Agarwood (Oud)': 3.3, 'Incense': 3.275}","{'Vanilla': 4.3, 'Amber': 3.325, 'Woody Notes': 3.15, 'Musk': 2.6, 'Vetiver': 2.5, 'Evernyl': 2.5}","{'love': 100.0, 'like': 42.1889, 'ok': 19.035, 'dislike': 18.6231, 'hate': 6.67843}","{'winter': 90.3241, 'spring': 100.0, 'summer': 56.5524, 'fall': 93.8938, 'day': 96.5712, 'night': 88.1165}"
m12,for women,"{'caramel': 100.0, 'vanilla': 98.6897, 'white floral': 77.613, 'sweet': 71.7378, 'salty': 54.8988, 'powdery': 50.6068, 'balsamic': 47.3035}","{'very weak': '56', 'weak': '87', 'moderate': '546', 'long lasting': '414', 'eternal': '98'}","{'intimate': '153', 'moderate': '662', 'strong': '304', 'enormous': '65'}","{'female': '980', 'more female': '124', 'unisex': '36', 'more male': '4', 'male': '9'}",{'Jasmine': 3.55},"{'Caramel': 5.0, 'Salt': 2.5}",{'Vanilla': 4.925},"{'love': 100.0, 'like': 51.4239, 'ok': 21.3995, 'dislike': 13.1001, 'hate': 4.31245}","{'winter': 100.0, 'spring': 43.6932, 'summer': 21.5943, 'fall': 97.8809, 'day': 54.3895, 'night': 97.78}"
m15,for women,"{'white floral': 100.0, 'tuberose': 69.3362}","{'very weak': '208', 'weak': '501', 'moderate': '1922', 'long lasting': '1065', 'eternal': '271'}","{'intimate': '576', 'moderate': '2231', 'strong': '989', 'enormous': '421'}","{'female': '2474', 'more female': '375', 'unisex': '148', 'more male': '8', 'male': '14'}",{'Jasmine': 4.95},{'Tuberose': 5.0},{'Rangoon Creeper': 2.5},"{'love': 81.808, 'like': 100.0, 'ok': 26.3924, 'dislike': 44.7523, 'hate': 8.67618}","{'winter': 24.8442, 'spring': 100.0, 'summer': 57.7916, 'fall': 41.9412, 'day': 91.8077, 'night': 30.187}"
m16,for women,"{'sweet': 100.0, 'white floral': 98.5475, 'warm spicy': 93.0826, 'vanilla': 92.3433, 'amber': 69.5186, 'cacao': 68.3627, 'woody': 65.6016, 'tuberose': 63.2931, 'almond': 61.0967, 'powdery': 60.3854}","{'very weak': '268', 'weak': '782', 'moderate': '4333', 'long lasting': '4336', 'eternal': '1165'}","{'intimate': '926', 'moderate': '5192', 'strong': '3690', 'enormous': '1031'}","{'female': '7422', 'more female': '1092', 'unisex': '284', 'more male': '27', 'male': '44'}","{'Almond': 4.2, 'Coffee': 3.725, 'Bergamot': 2.875, 'Lemon': 2.6}","{'Tuberose': 4.375, 'Jasmine Sambac': 4.15, 'Orange Blossom': 2.875, 'Bulgarian Rose': 2.575, 'Orris': 2.5}","{'Tonka Bean': 5.0, 'Cacao': 4.725, 'Vanilla': 4.325, 'Praline': 3.65, 'Sandalwood': 2.925, 'Musk': 2.925, 'Amber': 2.875, 'Cashmere Wood': 2.775, 'Patchouli': 2.7, 'Cinnamon': 2.7, 'Cedar': 2.5}","{'love': 100.0, 'like': 83.2668, 'ok': 24.8416, 'dislike': 34.4989, 'hate': 7.12274}","{'winter': 89.021, 'spring': 35.9963, 'summer': 21.1845, 'fall': 82.4405, 'day': 41.0644, 'night': 100.0}"
m17,for women,"{'fresh spicy': 100.0, 'warm spicy': 93.4872, 'white floral': 90.9128, 'coconut': 84.2262, 'lactonic': 66.8829, 'woody': 62.4798, 'powdery': 61.6464, 'sweet': 58.958, 'fresh': 58.879, 'musky': 54.2149}","{'very weak': '221', 'weak': '587', 'moderate': '2839', 'long lasting': '3824', 'eternal': '1803'}","{'intimate': '714', 'moderate': '3590', 'strong': '3712', 'enormous': '1516'}","{'female': '3763', 'more female': '1264', 'unisex': '586', 'more male': '51', 'male': '27'}","{'Pepper': 4.275, 'Ginger': 3.7, 'Cardamom': 3.675}","{'Coconut': 5.0, 'Gardenia': 4.4, 'Orange Blossom': 2.575, 'Peony': 2.5}","{'Sandalwood': 3.625, 'Musk': 3.1, 'Amber': 2.95}","{'love': 100.0, 'like': 89.5521, 'ok': 13.6805, 'dislike': 46.4365, 'hate': 4.15931}","{'winter': 86.2771, 'spring': 29.7128, 'summer': 26.2023, 'fall': 76.802, 'day': 39.419, 'night': 100.0}"
m18,for women,"{'citrus': 100.0, 'woody': 63.262, 'patchouli': 62.4072, 'sweet': 61.7797, 'white floral': 59.3752, 'rose': 52.838, 'earthy': 49.1675, 'vanilla': 48.5261, 'warm spicy': 48.0438, 'yellow floral': 47.9722}","{'very weak': '275', 'weak': '561', 'moderate': '3066', 'long lasting': '4763', 'eternal': '3430'}","{'intimate': '771', 'moderate': '4150', 'strong': '4960', 'enormous': '2273'}","{'female': '5582', 'more female': '784', 'unisex': '289', 'more male': '24', 'male': '54'}","{'Orange': 4.375, 'Mandarin Orange': 3.625, 'Bergamot': 3.575, 'Orange Blossom': 3.425}","{'Turkish Rose': 4.1, 'Jasmine': 3.225, 'Mimosa': 2.875, 'Ylang-Ylang': 2.8}","{'Patchouli': 5.0, 'White Musk': 3.075, 'Vanilla': 2.95, 'Vetiver': 2.925, 'Tonka Bean': 2.8, 'Opoponax': 2.5}","{'love': 100.0, 'like': 78.2803, 'ok': 11.0661, 'dislike': 27.5778, 'hate': 3.02691}","{'winter': 69.3031, 'spring': 85.3197, 'summer': 47.9311, 'fall': 80.5286, 'day': 100.0, 'night': 67.9568}"
m21,for women,"{'sweet': 100.0, 'vanilla': 81.9449, 'fruity': 65.5852, 'patchouli': 57.855, 'woody': 57.2545, 'white floral': 53.4972, 'powdery': 52.745, 'iris': 48.6924, 'earthy': 48.6191, 'warm spicy': 47.7885}","{'very weak': '255', 'weak': '636', 'moderate': '3460', 'long lasting': '5774', 'eternal': '4665'}","{'intimate': '747', 'moderate': '4119', 'strong': '6207', 'enormous': '3691'}","{'female': '8085', 'more female': '466', 'unisex': '106', 'more male': '22', 'male': '39'}","{'Black Currant': 3.425, 'Pear': 2.975}","{'Iris': 3.1, 'Jasmine': 2.6, 'Orange Blossom': 2.5}","{'Praline': 5.0, 'Vanilla': 4.675, 'Patchouli': 3.825, 'Tonka Bean': 3.15}","{'love': 100.0, 'like': 97.3589, 'ok': 22.4682, 'dislike': 74.3492, 'hate': 12.5214}","{'winter': 100.0, 'spring': 53.978, 'summer': 30.0595, 'fall': 85.5097, 'day': 84.6728, 'night': 86.871}"
m22,for women,"{'sweet': 100.0, 'fruity': 71.2804, 'vanilla': 51.9224, 'caramel': 51.6627, 'warm spicy': 51.4961, 'balsamic': 50.6539, 'woody': 47.0695, 'tropical': 46.22, 'patchouli': 45.6374, 'amber': 44.7487}","{'very weak': '161', 'weak': '244', 'moderate': '1251', 'long lasting': '2495', 'eternal': '1333'}","{'intimate': '386', 'moderate': '1753', 'strong': '2660', 'enormous': '1230'}","{'female': '2791', 'more female': '237', 'unisex': '77', 'more male': '7', 'male': '12'}","{'Pear': 3.225, 'Tangerine': 2.675, 'Bergamot': 2.5}","{'Strawberry': 3.75, 'Vanilla Orchid': 3.425, 'Black Rose': 3.425, 'Passionfruit': 3.05}","{'Praline': 5.0, 'Caramel': 4.475, 'Litchi': 4.05, 'Vanilla': 4.05, 'Patchouli': 3.85, 'Incense': 3.6, 'Coffee': 3.275, 'Licorice': 2.9, 'Coumarin': 2.85, 'Papyrus': 2.5}","{'love': 100.0, 'like': 71.4182, 'ok': 12.0335, 'dislike': 30.4569, 'hate': 3.69561}","{'winter': 96.9515, 'spring': 25.3422, 'summer': 13.8946, 'fall': 78.1211, 'day': 36.8519, 'night': 100.0}"
r9,for men,"{'citrus': 100.0, 'aromatic': 66.0139, 'marine': 58.2221, 'fresh spicy': 50.7715, 'floral': 47.5741, 'woody': 45.5244, 'fresh': 44.6232}","{'very weak': '565', 'weak': '2146', 'moderate': '6508', 'long lasting': '1562', 'eternal': '318'}","{'intimate': '2247', 'moderate': '6792', 'strong': '1434', 'enormous': '380'}","{'female': '62', 'more female': '19', 'unisex': '860', 'more male': '2805', 'male': '4439'}","{'Lime': 4.275, 'Lemon': 3.925, 'Bergamot': 3.6, 'Jasmine': 3.25, 'Orange': 3.2, 'Mandarin Orange': 3.075, 'Neroli': 2.85}","{'Sea Notes': 5.0, 'Jasmine': 3.25, 'Calone': 2.975, 'Rosemary': 2.775, 'Peach': 2.725, 'Freesia': 2.7, 'Hiacynth': 2.675, 'Cyclamen': 2.65, 'Violet': 2.625, 'Coriander': 2.625, 'Rose': 2.6, 'Nutmeg': 2.6, 'Mignonette': 2.5}","{'White Musk': 3.075, 'Cedar': 2.925, 'Oakmoss': 2.75, 'Patchouli': 2.675, 'Amber': 2.6}","{'love': 90.0671, 'like': 100.0, 'ok': 15.2717, 'dislike': 20.4426, 'hate': 2.32851}","{'winter': 10.268, 'spring': 68.5346, 'summer': 100.0, 'fall': 19.2134, 'day': 94.1002, 'night': 20.9885}"
r11,for men,"{'vanilla': 100.0, 'warm spicy': 67.6121, 'amber': 62.1414, 'aromatic': 55.4941, 'sweet': 53.5424, 'balsamic': 51.5538, 'lavender': 46.7411, 'fresh spicy': 45.6345}","{'very weak': '21', 'weak': '53', 'moderate': '609', 'long lasting': '2014', 'eternal': '644'}","{'intimate': '74', 'moderate': '942', 'strong': '1898', 'enormous': '366'}","{'female': '38', 'more female': '12', 'unisex': '259', 'more male': '1085', 'male': '1943'}","{'Lavender': 3.025, 'Cardamom': 2.925, 'Black Pepper': 2.625}","{'Incense': 3.05, 'Patchouli': 2.5}","{'Vanilla Pod': 5.0, 'Tonka Bean': 4.125}","{'love': 100.0, 'like': 28.5809, 'ok': 8.58086, 'dislike': 5.0495, 'hate': 2.40924}","{'winter': 100.0, 'spring': 52.6178, 'summer': 19.5353, 'fall': 87.5, 'day': 41.5249, 'night': 92.8665}"
r12,for men,"{'citrus': 100.0, 'fresh spicy': 80.6931, 'woody': 80.6824, 'aromatic': 69.8002, 'amber': 66.392, 'smoky': 52.8041, 'balsamic': 50.1748, 'warm spicy': 49.8712, 'green': 49.6387, 'fresh': 49.0067}","{'very weak': '309', 'weak': '743', 'moderate': '4583', 'long lasting': '3779', 'eternal': '640'}","{'intimate': '1117', 'moderate': '6193', 'strong': '2267', 'enormous': '587'}","{'female': '44', 'more female': '14', 'unisex': '351', 'more male': '1489', 'male': '4416'}","{'Grapefruit': 5.0, 'Lemon': 4.15, 'Mint': 3.4, 'Pink Pepper': 3.075}","{'Ginger': 4.1, 'Nutmeg': 2.9, 'Jasmine': 2.625, 'Iso E Super': 2.6}","{'Incense': 4.275, 'Vetiver': 3.2, 'Cedar': 3.175, 'Sandalwood': 2.975, 'Patchouli': 2.75, 'Labdanum': 2.625, 'White Musk': 2.5}","{'love': 100.0, 'like': 75.6597, 'ok': 11.9457, 'dislike': 22.3147, 'hate': 2.14606}","{'winter': 57.612, 'spring': 98.0372, 'summer': 89.5445, 'fall': 83.6185, 'day': 100.0, 'night': 87.4937}"
r13,for men,"{'warm spicy': 100.0, 'fresh spicy': 82.1398, 'woody': 78.5632, 'aromatic': 78.1522, 'lavender': 76.0403, 'soft spicy': 68.6757, 'cinnamon': 61.5255, 'amber': 54.3728, 'powdery': 50.3668, 'balsamic': 48.4683}","{'very weak': '94', 'weak': '96', 'moderate': '942', 'long lasting': '3966', 'eternal': '7536'}","{'intimate': '212', 'moderate': '1716', 'strong': '6261', 'enormous': '3866'}","{'female': '96', 'more female': '23', 'unisex': '339', 'more male': '1313', 'male': '10325'}","{'Nutmeg': 3.95, 'Cinnamon': 3.8, 'Cardamom': 3.275, 'Grapefruit': 2.575}",{'Lavender': 5.0},"{'Licorice': 4.4, 'Sandalwood': 3.4, 'Amber': 3.2, 'Patchouli': 2.65, 'Haitian Vetiver': 2.5}","{'love': 100.0, 'like': 29.6234, 'ok': 11.4217, 'dislike': 9.0435, 'hate': 6.88432}","{'winter': 100.0, 'spring': 52.0437, 'summer': 21.9243, 'fall': 88.4561, 'day': 47.8248, 'night': 90.5807}"
r16,for men,"{'vanilla': 100.0, 'sweet': 93.2848, 'amber': 72.1348, 'cinnamon': 69.1975, 'warm spicy': 66.6873, 'powdery': 59.0249, 'aromatic': 57.0595, 'soft spicy': 53.8075, 'caramel': 48.6711}","{'very weak': '119', 'weak': '215', 'moderate': '2741', 'long lasting': '7970', 'eternal': '1894'}","{'intimate': '393', 'moderate': '4083', 'strong': '6991', 'enormous': '1296'}","{'female': '104', 'more female': '81', 'unisex': '1767', 'more male': '5613', 'male': '5006'}","{'Pink Pepper': 3.1, 'Juniper': 2.6, 'Violet': 2.55}","{'Toffee': 4.725, 'Cinnamon': 4.325, 'Lavender': 2.8, 'Sage': 2.5}","{'Vanilla': 5.0, 'Amber': 3.725, 'Tonka Bean': 3.6, 'Suede': 2.825}","{'love': 100.0, 'like': 24.7319, 'ok': 5.61036, 'dislike': 4.16059, 'hate': 2.11032}","{'winter': 100.0, 'spring': 17.6399, 'summer': 8.65275, 'fall': 80.2805, 'day': 36.976, 'night': 81.1532}"
r17,for men,"{'vanilla': 100.0, 'sweet': 80.7034, 'honey': 69.7461, 'aromatic': 59.6817, 'amber': 59.6723, 'lavender': 53.6028, 'tobacco': 50.1965, 'green': 47.8323, 'fresh spicy': 45.997, 'powdery': 45.7988}","{'very weak': '137', 'weak': '175', 'moderate': '2250', 'long lasting': '8969', 'eternal': '3357'}","{'intimate': '365', 'moderate': '3838', 'strong': '8446', 'enormous': '1770'}","{'female': '162', 'more female': '92', 'unisex': '1527', 'more male': '5953', 'male': '7075'}","{'Lavender': 3.075, 'Mint': 2.6}","{'Vanilla': 5.0, 'Benzoin': 2.5}","{'Honey': 4.475, 'Tonka Bean': 3.275, 'Tobacco': 2.8}","{'love': 100.0, 'like': 22.963, 'ok': 7.29286, 'dislike': 4.20771, 'hate': 3.68079}","{'winter': 100.0, 'spring': 29.7373, 'summer': 13.652, 'fall': 78.8831, 'day': 38.0347, 'night': 83.1036}"
