code,for gender,main accords,longevity,sillage,gender,top notes,middle notes,base notes,sentiment_data,season_data,longevity_pct,sillage_pct,gender_pct,main_accords_pct,top_notes_pct,middle_notes_pct,base_notes_pct,sentiment_pct,season_pct,day_night_pct,gender_score,longevity_score,sillage_score,day_night_score,season_score,scent_dna
m4,for women,"{'white floral': 100.0, 'amber': 72.2803, 'floral': 44.0}","{'very weak': '214', 'weak': '516', 'moderate': '2875', 'long lasting': '5344', 'eternal': '4931'}","{'intimate': '571', 'moderate': '3419', 'strong': '5783', 'enormous': '4157'}","{'female': '5913', 'more female': '1805', 'unisex': '907', 'more male': '36', 'male': '56'}",{'Jasmine Sambac': 5.0},{'Cashmeran': 2.5},{'Amber': 3.9},"{'love': 100.0, 'like': 67.5211, 'ok': 12.1686, 'dislike': 35.4064, 'hate': 6.21922}","{'winter': 92.6734, 'spring': 39.8112, 'summer': 23.1575, 'fall': 76.4528, 'day': 48.3935, 'night': 100.0}","{'very weak': 1.5, 'weak': 3.7, 'moderate': 20.7, 'long lasting': 38.5, 'eternal': 35.5}","{'intimate': 4.1, 'moderate': 24.5, 'strong': 41.5, 'enormous': 29.8}","{'female': 67.8, 'more female': 20.7, 'unisex': 10.4, 'more male': 0.4, 'male': 0.6}","{'white floral': 46.3, 'amber': 33.3, 'floral': 20.4}",{'Jasmine Sambac': 0.4386},{'Cashmeran': 0.2193},{'Amber': 0.3421},"{'love': 45.5, 'like': 30.5, 'ok': 5.5, 'dislike': 15.9, 'hate': 2.7}","{'winter': 39.9, 'spring': 17.2, 'summer': 10.0, 'fall': 32.9}","{'day': 32.6, 'night': 67.4}",11.3,75.7,65.7,67.4,45.3,"A for women perfume with white floral, amber, floral accords. Features notes of Jasmine Sambac. Good for {'winter': 92.6734, 'spring': 39.8112, 'summer': 23.1575, 'fall': 76.4528, 'day': 48.3935, 'night': 100.0}."
m5,for women,"{'fruity': 100.0, 'sweet': 83.9242, 'vanilla': 76.2208, 'citrus': 75.9302, 'fresh': 73.7499, 'green': 69.5928, 'fresh spicy': 66.0901, 'lactonic': 60.8138}","{'very weak': '31', 'weak': '84', 'moderate': '144', 'long lasting': '39', 'eternal': '11'}","{'intimate': '81', 'moderate': '180', 'strong': '50', 'enormous': '38'}","{'female': '179', 'more female': '13', 'unisex': '1', 'more male': '1', 'male': '2'}","{'Apple': 5.0, 'Whipped Cream': 4.375, 'Bergamot': 2.5}",{},{},"{'love': 100.0, 'like': 99.4269, 'ok': 7.16332, 'dislike': 18.3381, 'hate': 0.573066}","{'winter': 23.1544, 'spring': 79.5302, 'summer': 92.2819, 'fall': 34.5638, 'day': 100.0, 'night': 33.2215}","{'very weak': 10.0, 'weak': 27.2, 'moderate': 46.6, 'long lasting': 12.6, 'eternal': 3.6}","{'intimate': 23.2, 'moderate': 51.6, 'strong': 14.3, 'enormous': 10.9}","{'female': 91.3, 'more female': 6.6, 'unisex': 0.5, 'more male': 0.5, 'male': 1.0}","{'fruity': 16.6, 'sweet': 13.8, 'vanilla': 12.6, 'citrus': 12.5, 'fresh': 12.1, 'green': 11.5, 'fresh spicy': 11.0, 'lactonic': 10.0}","{'Apple': 0.4211, 'Whipped Cream': 0.3684, 'Bergamot': 0.2105}",{},{},"{'love': 44.6, 'like': 44.2, 'ok': 3.1, 'dislike': 8.0, 'hate': 0.0}","{'winter': 10.1, 'spring': 34.6, 'summer': 40.2, 'fall': 15.1}","{'day': 75.1, 'night': 24.9}",3.3,43.1,37.6,24.9,53.4,"A for women perfume with fruity, sweet, vanilla, citrus, fresh, green, fresh spicy, lactonic accords. Features notes of Apple, Whipped Cream, Bergamot. Good for {'winter': 23.1544, 'spring': 79.5302, 'summer': 92.2819, 'fall': 34.5638, 'day': 100.0, 'night': 33.2215}."
m8,for women,"{'white floral': 100.0, 'floral': 86.8234, 'fruity': 82.1264, 'sweet': 64.6261, 'fresh': 63.8896, 'aquatic': 55.0672, 'citrus': 54.8253, 'powdery': 51.2353, 'ozonic': 46.8371, 'tuberose': 46.8261}","{'very weak': '223', 'weak': '760', 'moderate': '3681', 'long lasting': '3119', 'eternal': '861'}","{'intimate': '849', 'moderate': '4350', 'strong': '2680', 'enormous': '753'}","{'female': '4671', 'more female': '464', 'unisex': '127', 'more male': '13', 'male': '15'}","{'Pear': 4.2, 'Melon': 3.8, 'Magnolia': 3.725, 'Peach': 3.35, 'Mandarin Orange': 2.7, 'Bergamot': 2.675}","{'Jasmine': 5.0, 'Lily-of-the-Valley': 3.8, 'Tuberose': 3.45, 'Freesia': 3.2, 'Rose': 3.05, 'Orchid': 2.725, 'Violet': 2.675, 'Plum': 2.65}","{'Musk': 3.075, 'Vanilla': 2.725, 'Cedar': 2.525, 'Blackberry': 2.5}","{'love': 75.3548, 'like': 100.0, 'ok': 15.6368, 'dislike': 50.2694, 'hate': 3.79019}","{'winter': 47.3678, 'spring': 92.1831, 'summer': 54.3625, 'fall': 66.4744, 'day': 100.0, 'night': 62.8543}","{'very weak': 2.6, 'weak': 8.8, 'moderate': 42.6, 'long lasting': 36.1, 'eternal': 10.0}","{'intimate': 9.8, 'moderate': 50.4, 'strong': 31.0, 'enormous': 8.7}","{'female': 88.3, 'more female': 8.8, 'unisex': 2.4, 'more male': 0.2, 'male': 0.3}","{'white floral': 15.5, 'floral': 13.3, 'fruity': 12.7, 'sweet': 9.9, 'fresh': 9.7, 'aquatic': 8.5, 'citrus': 8.3, 'powdery': 7.9, 'ozonic': 7.1, 'tuberose': 7.1}","{'Pear': 0.0726, 'Melon': 0.0657, 'Magnolia': 0.0644, 'Peach': 0.0579, 'Mandarin Orange': 0.0467, 'Bergamot': 0.0463}","{'Jasmine': 0.0865, 'Lily-of-the-Valley': 0.0657, 'Tuberose': 0.0597, 'Freesia': 0.0553, 'Rose': 0.0527, 'Orchid': 0.0471, 'Violet': 0.0463, 'Plum': 0.0458}","{'Musk': 0.0532, 'Vanilla': 0.0471, 'Cedar': 0.0437, 'Blackberry': 0.0432}","{'love': 30.9, 'like': 41.2, 'ok': 6.2, 'dislike': 20.6, 'hate': 1.2}","{'winter': 18.2, 'spring': 35.4, 'summer': 20.9, 'fall': 25.5}","{'day': 61.4, 'night': 38.6}",3.9,60.5,46.2,38.6,51.2,"A for women perfume with white floral, floral, fruity, sweet, fresh, aquatic, citrus, powdery, ozonic, tuberose accords. Features notes of Pear, Melon, Magnolia, Peach, Mandarin Orange, Bergamot. Good for {'winter': 47.3678, 'spring': 92.1831, 'summer': 54.3625, 'fall': 66.4744, 'day': 100.0, 'night': 62.8543}."
m9,for women,"{'rose': 100.0, 'fruity': 86.2172, 'vanilla': 80.8161, 'amber': 74.3221, 'tropical': 60.3249, 'fresh': 58.5518, 'sweet': 55.0289, 'woody': 54.0281, 'oud': 53.3973, 'floral': 53.1278}","{'very weak': '71', 'weak': '94', 'moderate': '637', 'long lasting': '1459', 'eternal': '1044'}","{'intimate': '151', 'moderate': '1027', 'strong': '1555', 'enormous': '713'}","{'female': '2566', 'more female': '255', 'unisex': '100', 'more male': '14', 'male': '25'}","{'Litchi': 4.3, 'Pear': 3.475, 'Bergamot': 3.0, 'Grapefruit': 2.575, 'Pink Pepper': 2.525}","{'Turkish Rose': 5.0, 'Agarwood (Oud)': 3.3, 'Incense': 3.275}","{'Vanilla': 4.3, 'Amber': 3.325, 'Woody Notes': 3.15, 'Musk': 2.6, 'Vetiver': 2.5, 'Evernyl': 2.5}","{'love': 100.0, 'like': 42.1889, 'ok': 19.035, 'dislike': 18.6231, 'hate': 6.67843}","{'winter': 90.3241, 'spring': 100.0, 'summer': 56.5524, 'fall': 93.8938, 'day': 96.5712, 'night': 88.1165}","{'very weak': 2.1, 'weak': 2.8, 'moderate': 19.3, 'long lasting': 44.1, 'eternal': 31.6}","{'intimate': 4.4, 'moderate': 29.8, 'strong': 45.1, 'enormous': 20.7}","{'female': 86.7, 'more female': 8.6, 'unisex': 3.4, 'more male': 0.5, 'male': 0.8}","{'rose': 14.9, 'fruity': 12.8, 'vanilla': 11.9, 'amber': 11.0, 'tropical': 8.9, 'fresh': 8.6, 'sweet': 8.2, 'woody': 8.0, 'oud': 7.9, 'floral': 7.9}","{'Litchi': 0.0938, 'Pear': 0.0758, 'Bergamot': 0.0655, 'Grapefruit': 0.0562, 'Pink Pepper': 0.0551}","{'Turkish Rose': 0.1091, 'Agarwood (Oud)': 0.072, 'Incense': 0.0715}","{'Vanilla': 0.0938, 'Amber': 0.0726, 'Woody Notes': 0.0687, 'Musk': 0.0567, 'Vetiver': 0.0546, 'Evernyl': 0.0546}","{'love': 54.1, 'like': 22.7, 'ok': 10.3, 'dislike': 9.7, 'hate': 3.2}","{'winter': 26.5, 'spring': 29.3, 'summer': 16.6, 'fall': 27.6}","{'day': 52.3, 'night': 47.7}",5.0,75.1,60.7,47.7,48.4,"A for women perfume with rose, fruity, vanilla, amber, tropical, fresh, sweet, woody, oud, floral accords. Features notes of Litchi, Pear, Bergamot, Grapefruit, Pink Pepper. Good for {'winter': 90.3241, 'spring': 100.0, 'summer': 56.5524, 'fall': 93.8938, 'day': 96.5712, 'night': 88.1165}."
m12,for women,"{'caramel': 100.0, 'vanilla': 98.6897, 'white floral': 77.613, 'sweet': 71.7378, 'salty': 54.8988, 'powdery': 50.6068, 'balsamic': 47.3035}","{'very weak': '56', 'weak': '87', 'moderate': '546', 'long lasting': '414', 'eternal': '98'}","{'intimate': '153', 'moderate': '662', 'strong': '304', 'enormous': '65'}","{'female': '980', 'more female': '124', 'unisex': '36', 'more male': '4', 'male': '9'}",{'Jasmine': 3.55},"{'Caramel': 5.0, 'Salt': 2.5}",{'Vanilla': 4.925},"{'love': 100.0, 'like': 51.4239, 'ok': 21.3995, 'dislike': 13.1001, 'hate': 4.31245}","{'winter': 100.0, 'spring': 43.6932, 'summer': 21.5943, 'fall': 97.8809, 'day': 54.3895, 'night': 97.78}","{'very weak': 4.7, 'weak': 7.2, 'moderate': 45.5, 'long lasting': 34.5, 'eternal': 8.2}","{'intimate': 12.9, 'moderate': 55.9, 'strong': 25.7, 'enormous': 5.5}","{'female': 85.0, 'more female': 10.8, 'unisex': 3.1, 'more male': 0.3, 'male': 0.8}","{'caramel': 20.1, 'vanilla': 19.7, 'white floral': 15.5, 'sweet': 14.3, 'salty': 10.9, 'powdery': 10.1, 'balsamic': 9.5}",{'Jasmine': 0.2222},"{'Caramel': 0.313, 'Salt': 0.1565}",{'Vanilla': 0.3083},"{'love': 52.9, 'like': 27.0, 'ok': 11.1, 'dislike': 6.9, 'hate': 2.1}","{'winter': 38.0, 'spring': 16.6, 'summer': 8.2, 'fall': 37.2}","{'day': 35.7, 'night': 64.3}",5.3,58.6,41.3,64.3,48.2,"A for women perfume with caramel, vanilla, white floral, sweet, salty, powdery, balsamic accords. Features notes of Jasmine. Good for {'winter': 100.0, 'spring': 43.6932, 'summer': 21.5943, 'fall': 97.8809, 'day': 54.3895, 'night': 97.78}."
m15,for women,"{'white floral': 100.0, 'tuberose': 69.3362}","{'very weak': '208', 'weak': '501', 'moderate': '1922', 'long lasting': '1065', 'eternal': '271'}","{'intimate': '576', 'moderate': '2231', 'strong': '989', 'enormous': '421'}","{'female': '2474', 'more female': '375', 'unisex': '148', 'more male': '8', 'male': '14'}",{'Jasmine': 4.95},{'Tuberose': 5.0},{'Rangoon Creeper': 2.5},"{'love': 81.808, 'like': 100.0, 'ok': 26.3924, 'dislike': 44.7523, 'hate': 8.67618}","{'winter': 24.8442, 'spring': 100.0, 'summer': 57.7916, 'fall': 41.9412, 'day': 91.8077, 'night': 30.187}","{'very weak': 5.2, 'weak': 12.6, 'moderate': 48.4, 'long lasting': 26.8, 'eternal': 6.8}","{'intimate': 13.7, 'moderate': 52.9, 'strong': 23.5, 'enormous': 10.0}","{'female': 81.9, 'more female': 12.4, 'unisex': 4.9, 'more male': 0.3, 'male': 0.5}","{'white floral': 59.2, 'tuberose': 40.8}",{'Jasmine': 0.3976},{'Tuberose': 0.4016},{'Rangoon Creeper': 0.2008},"{'love': 31.3, 'like': 38.6, 'ok': 10.0, 'dislike': 17.0, 'hate': 3.1}","{'winter': 11.1, 'spring': 44.5, 'summer': 25.7, 'fall': 18.7}","{'day': 75.3, 'night': 24.7}",6.3,54.4,43.2,24.7,50.7,"A for women perfume with white floral, tuberose accords. Features notes of Jasmine. Good for {'winter': 24.8442, 'spring': 100.0, 'summer': 57.7916, 'fall': 41.9412, 'day': 91.8077, 'night': 30.187}."
m16,for women,"{'sweet': 100.0, 'white floral': 98.5475, 'warm spicy': 93.0826, 'vanilla': 92.3433, 'amber': 69.5186, 'cacao': 68.3627, 'woody': 65.6016, 'tuberose': 63.2931, 'almond': 61.0967, 'powdery': 60.3854}","{'very weak': '268', 'weak': '782', 'moderate': '4333', 'long lasting': '4336', 'eternal': '1165'}","{'intimate': '926', 'moderate': '5192', 'strong': '3690', 'enormous': '1031'}","{'female': '7422', 'more female': '1092', 'unisex': '284', 'more male': '27', 'male': '44'}","{'Almond': 4.2, 'Coffee': 3.725, 'Bergamot': 2.875, 'Lemon': 2.6}","{'Tuberose': 4.375, 'Jasmine Sambac': 4.15, 'Orange Blossom': 2.875, 'Bulgarian Rose': 2.575, 'Orris': 2.5}","{'Tonka Bean': 5.0, 'Cacao': 4.725, 'Vanilla': 4.325, 'Praline': 3.65, 'Sandalwood': 2.925, 'Musk': 2.925, 'Amber': 2.875, 'Cashmere Wood': 2.775, 'Patchouli': 2.7, 'Cinnamon': 2.7, 'Cedar': 2.5}","{'love': 100.0, 'like': 83.2668, 'ok': 24.8416, 'dislike': 34.4989, 'hate': 7.12274}","{'winter': 89.021, 'spring': 35.9963, 'summer': 21.1845, 'fall': 82.4405, 'day': 41.0644, 'night': 100.0}","{'very weak': 2.5, 'weak': 7.2, 'moderate': 39.8, 'long lasting': 39.8, 'eternal': 10.7}","{'intimate': 8.5, 'moderate': 47.9, 'strong': 34.0, 'enormous': 9.5}","{'female': 83.7, 'more female': 12.3, 'unisex': 3.2, 'more male': 0.3, 'male': 0.5}","{'sweet': 13.0, 'white floral': 12.7, 'warm spicy': 12.1, 'vanilla': 12.0, 'amber': 9.0, 'cacao': 8.8, 'woody': 8.5, 'tuberose': 8.2, 'almond': 7.9, 'powdery': 7.8}","{'Almond': 0.0627, 'Coffee': 0.0556, 'Bergamot': 0.0429, 'Lemon': 0.0388}","{'Tuberose': 0.0653, 'Jasmine Sambac': 0.062, 'Orange Blossom': 0.0429, 'Bulgarian Rose': 0.0384, 'Orris': 0.0373}","{'Tonka Bean': 0.0747, 'Cacao': 0.0705, 'Vanilla': 0.0646, 'Praline': 0.0545, 'Sandalwood': 0.0437, 'Musk': 0.0437, 'Amber': 0.0429, 'Cashmere Wood': 0.0414, 'Patchouli': 0.0403, 'Cinnamon': 0.0403, 'Cedar': 0.0373}","{'love': 40.3, 'like': 33.5, 'ok': 9.7, 'dislike': 13.7, 'hate': 2.8}","{'winter': 38.9, 'spring': 15.7, 'summer': 9.3, 'fall': 36.1}","{'day': 29.1, 'night': 70.9}",5.4,62.2,48.2,70.9,47.5,"A for women perfume with sweet, white floral, warm spicy, vanilla, amber, cacao, woody, tuberose, almond, powdery accords. Features notes of Almond, Coffee, Bergamot, Lemon. Good for {'winter': 89.021, 'spring': 35.9963, 'summer': 21.1845, 'fall': 82.4405, 'day': 41.0644, 'night': 100.0}."
m17,for women,"{'fresh spicy': 100.0, 'warm spicy': 93.4872, 'white floral': 90.9128, 'coconut': 84.2262, 'lactonic': 66.8829, 'woody': 62.4798, 'powdery': 61.6464, 'sweet': 58.958, 'fresh': 58.879, 'musky': 54.2149}","{'very weak': '221', 'weak': '587', 'moderate': '2839', 'long lasting': '3824', 'eternal': '1803'}","{'intimate': '714', 'moderate': '3590', 'strong': '3712', 'enormous': '1516'}","{'female': '3763', 'more female': '1264', 'unisex': '586', 'more male': '51', 'male': '27'}","{'Pepper': 4.275, 'Ginger': 3.7, 'Cardamom': 3.675}","{'Coconut': 5.0, 'Gardenia': 4.4, 'Orange Blossom': 2.575, 'Peony': 2.5}","{'Sandalwood': 3.625, 'Musk': 3.1, 'Amber': 2.95}","{'love': 100.0, 'like': 89.5521, 'ok': 13.6805, 'dislike': 46.4365, 'hate': 4.15931}","{'winter': 86.2771, 'spring': 29.7128, 'summer': 26.2023, 'fall': 76.802, 'day': 39.419, 'night': 100.0}","{'very weak': 2.4, 'weak': 6.3, 'moderate': 30.6, 'long lasting': 41.2, 'eternal': 19.4}","{'intimate': 7.5, 'moderate': 37.7, 'strong': 38.9, 'enormous': 15.9}","{'female': 66.1, 'more female': 22.2, 'unisex': 10.3, 'more male': 0.9, 'male': 0.5}","{'fresh spicy': 13.8, 'warm spicy': 12.8, 'white floral': 12.4, 'coconut': 11.6, 'lactonic': 9.1, 'woody': 8.5, 'powdery': 8.4, 'sweet': 8.0, 'fresh': 8.0, 'musky': 7.4}","{'Pepper': 0.1194, 'Ginger': 0.1034, 'Cardamom': 0.1027}","{'Coconut': 0.1397, 'Gardenia': 0.1229, 'Orange Blossom': 0.0719, 'Peony': 0.0698}","{'Sandalwood': 0.1013, 'Musk': 0.0866, 'Amber': 0.0824}","{'love': 39.7, 'like': 35.3, 'ok': 5.2, 'dislike': 18.3, 'hate': 1.6}","{'winter': 39.4, 'spring': 13.6, 'summer': 12.0, 'fall': 35.1}","{'day': 28.3, 'night': 71.7}",11.9,67.2,54.4,71.7,47.6,"A for women perfume with fresh spicy, warm spicy, white floral, coconut, lactonic, woody, powdery, sweet, fresh, musky accords. Features notes of Pepper, Ginger, Cardamom. Good for {'winter': 86.2771, 'spring': 29.7128, 'summer': 26.2023, 'fall': 76.802, 'day': 39.419, 'night': 100.0}."
m18,for women,"{'citrus': 100.0, 'woody': 63.262, 'patchouli': 62.4072, 'sweet': 61.7797, 'white floral': 59.3752, 'rose': 52.838, 'earthy': 49.1675, 'vanilla': 48.5261, 'warm spicy': 48.0438, 'yellow floral': 47.9722}","{'very weak': '275', 'weak': '561', 'moderate': '3066', 'long lasting': '4763', 'eternal': '3430'}","{'intimate': '771', 'moderate': '4150', 'strong': '4960', 'enormous': '2273'}","{'female': '5582', 'more female': '784', 'unisex': '289', 'more male': '24', 'male': '54'}","{'Orange': 4.375, 'Mandarin Orange': 3.625, 'Bergamot': 3.575, 'Orange Blossom': 3.425}","{'Turkish Rose': 4.1, 'Jasmine': 3.225, 'Mimosa': 2.875, 'Ylang-Ylang': 2.8}","{'Patchouli': 5.0, 'White Musk': 3.075, 'Vanilla': 2.95, 'Vetiver': 2.925, 'Tonka Bean': 2.8, 'Opoponax': 2.5}","{'love': 100.0, 'like': 78.2803, 'ok': 11.0661, 'dislike': 27.5778, 'hate': 3.02691}","{'winter': 69.3031, 'spring': 85.3197, 'summer': 47.9311, 'fall': 80.5286, 'day': 100.0, 'night': 67.9568}","{'very weak': 2.3, 'weak': 4.6, 'moderate': 25.3, 'long lasting': 39.4, 'eternal': 28.4}","{'intimate': 6.3, 'moderate': 34.1, 'strong': 40.8, 'enormous': 18.7}","{'female': 82.9, 'more female': 11.6, 'unisex': 4.3, 'more male': 0.4, 'male': 0.8}","{'citrus': 17.0, 'woody': 10.7, 'patchouli': 10.5, 'sweet': 10.4, 'white floral': 10.0, 'rose': 8.8, 'earthy': 8.3, 'vanilla': 8.1, 'warm spicy': 8.1, 'yellow floral': 8.0}","{'Orange': 0.0926, 'Mandarin Orange': 0.0767, 'Bergamot': 0.0757, 'Orange Blossom': 0.0725}","{'Turkish Rose': 0.0868, 'Jasmine': 0.0683, 'Mimosa': 0.0608, 'Ylang-Ylang': 0.0593}","{'Patchouli': 0.1058, 'White Musk': 0.0651, 'Vanilla': 0.0624, 'Vetiver': 0.0619, 'Tonka Bean': 0.0593, 'Opoponax': 0.0529}","{'love': 45.7, 'like': 35.6, 'ok': 5.0, 'dislike': 12.3, 'hate': 1.4}","{'winter': 24.5, 'spring': 30.1, 'summer': 16.9, 'fall': 28.4}","{'day': 59.5, 'night': 40.5}",6.2,71.8,57.3,40.5,49.7,"A for women perfume with citrus, woody, patchouli, sweet, white floral, rose, earthy, vanilla, warm spicy, yellow floral accords. Features notes of Orange, Mandarin Orange, Bergamot, Orange Blossom. Good for {'winter': 69.3031, 'spring': 85.3197, 'summer': 47.9311, 'fall': 80.5286, 'day': 100.0, 'night': 67.9568}."
m21,for women,"{'sweet': 100.0, 'vanilla': 81.9449, 'fruity': 65.5852, 'patchouli': 57.855, 'woody': 57.2545, 'white floral': 53.4972, 'powdery': 52.745, 'iris': 48.6924, 'earthy': 48.6191, 'warm spicy': 47.7885}","{'very weak': '255', 'weak': '636', 'moderate': '3460', 'long lasting': '5774', 'eternal': '4665'}","{'intimate': '747', 'moderate': '4119', 'strong': '6207', 'enormous': '3691'}","{'female': '8085', 'more female': '466', 'unisex': '106', 'more male': '22', 'male': '39'}","{'Black Currant': 3.425, 'Pear': 2.975}","{'Iris': 3.1, 'Jasmine': 2.6, 'Orange Blossom': 2.5}","{'Praline': 5.0, 'Vanilla': 4.675, 'Patchouli': 3.825, 'Tonka Bean': 3.15}","{'love': 100.0, 'like': 97.3589, 'ok': 22.4682, 'dislike': 74.3492, 'hate': 12.5214}","{'winter': 100.0, 'spring': 53.978, 'summer': 30.0595, 'fall': 85.5097, 'day': 84.6728, 'night': 86.871}","{'very weak': 1.7, 'weak': 4.3, 'moderate': 23.4, 'long lasting': 39.0, 'eternal': 31.5}","{'intimate': 5.1, 'moderate': 27.9, 'strong': 42.0, 'enormous': 25.0}","{'female': 92.7, 'more female': 5.3, 'unisex': 1.2, 'more male': 0.3, 'male': 0.4}","{'sweet': 16.4, 'vanilla': 13.3, 'fruity': 10.7, 'patchouli': 9.4, 'woody': 9.4, 'white floral': 8.7, 'powdery': 8.6, 'iris': 7.9, 'earthy': 7.9, 'warm spicy': 7.7}","{'Black Currant': 0.1096, 'Pear': 0.0952}","{'Iris': 0.0992, 'Jasmine': 0.0832, 'Orange Blossom': 0.08}","{'Praline': 0.16, 'Vanilla': 0.1496, 'Patchouli': 0.1224, 'Tonka Bean': 0.1008}","{'love': 32.8, 'like': 31.8, 'ok': 7.2, 'dislike': 24.3, 'hate': 3.9}","{'winter': 37.1, 'spring': 20.0, 'summer': 11.2, 'fall': 31.7}","{'day': 49.4, 'night': 50.6}",2.6,73.6,62.3,50.6,45.8,"A for women perfume with sweet, vanilla, fruity, patchouli, woody, white floral, powdery, iris, earthy, warm spicy accords. Features notes of Black Currant, Pear. Good for {'winter': 100.0, 'spring': 53.978, 'summer': 30.0595, 'fall': 85.5097, 'day': 84.6728, 'night': 86.871}."
m22,for women,"{'sweet': 100.0, 'fruity': 71.2804, 'vanilla': 51.9224, 'caramel': 51.6627, 'warm spicy': 51.4961, 'balsamic': 50.6539, 'woody': 47.0695, 'tropical': 46.22, 'patchouli': 45.6374, 'amber': 44.7487}","{'very weak': '161', 'weak': '244', 'moderate': '1251', 'long lasting': '2495', 'eternal': '1333'}","{'intimate': '386', 'moderate': '1753', 'strong': '2660', 'enormous': '1230'}","{'female': '2791', 'more female': '237', 'unisex': '77', 'more male': '7', 'male': '12'}","{'Pear': 3.225, 'Tangerine': 2.675, 'Bergamot': 2.5}","{'Strawberry': 3.75, 'Vanilla Orchid': 3.425, 'Black Rose': 3.425, 'Passionfruit': 3.05}","{'Praline': 5.0, 'Caramel': 4.475, 'Litchi': 4.05, 'Vanilla': 4.05, 'Patchouli': 3.85, 'Incense': 3.6, 'Coffee': 3.275, 'Licorice': 2.9, 'Coumarin': 2.85, 'Papyrus': 2.5}","{'love': 100.0, 'like': 71.4182, 'ok': 12.0335, 'dislike': 30.4569, 'hate': 3.69561}","{'winter': 96.9515, 'spring': 25.3422, 'summer': 13.8946, 'fall': 78.1211, 'day': 36.8519, 'night': 100.0}","{'very weak': 2.9, 'weak': 4.4, 'moderate': 22.8, 'long lasting': 45.5, 'eternal': 24.3}","{'intimate': 6.4, 'moderate': 29.1, 'strong': 44.1, 'enormous': 20.4}","{'female': 89.3, 'more female': 7.6, 'unisex': 2.5, 'more male': 0.2, 'male': 0.4}","{'sweet': 18.0, 'fruity': 12.8, 'vanilla': 9.2, 'caramel': 9.2, 'warm spicy': 9.2, 'balsamic': 9.0, 'woody': 8.5, 'tropical': 8.3, 'patchouli': 8.1, 'amber': 7.9}","{'Pear': 0.055, 'Tangerine': 0.0456, 'Bergamot': 0.0427}","{'Strawberry': 0.064, 'Vanilla Orchid': 0.0584, 'Black Rose': 0.0584, 'Passionfruit': 0.052}","{'Praline': 0.0853, 'Caramel': 0.0764, 'Litchi': 0.0691, 'Vanilla': 0.0691, 'Patchouli': 0.0657, 'Incense': 0.0614, 'Coffee': 0.0559, 'Licorice': 0.0495, 'Coumarin': 0.0486, 'Papyrus': 0.0427}","{'love': 46.3, 'like': 32.9, 'ok': 5.6, 'dislike': 13.9, 'hate': 1.4}","{'winter': 45.2, 'spring': 11.8, 'summer': 6.5, 'fall': 36.5}","{'day': 26.9, 'night': 73.1}",3.7,71.0,59.5,73.1,44.8,"A for women perfume with sweet, fruity, vanilla, caramel, warm spicy, balsamic, woody, tropical, patchouli, amber accords. Features notes of Pear, Tangerine, Bergamot. Good for {'winter': 96.9515, 'spring': 25.3422, 'summer': 13.8946, 'fall': 78.1211, 'day': 36.8519, 'night': 100.0}."
